pid,cost,platitude,plongitude,street_id
101001000,47.0,19.010212573825815,73.02084358539369,10100
101001001,35.0,19.01059260631034,73.02076658016095,10100
101001002,20.0,19.010188587068388,73.02078581033516,10100
101001003,33.0,19.01015675422485,73.02012372740813,10100
101001004,43.0,19.010922604641127,73.02042121935273,10100
101001005,35.0,19.010887234018906,73.02089167783346,10100
101001006,24.0,19.01086705751907,73.02005921929512,10100
101001007,50.0,19.010294009124195,73.02057881822402,10100
101001008,41.0,19.01068994040257,73.02091049337074,10100
101001009,47.0,19.010294442281165,73.02089935870244,10100
101011000,34.0,19.010487420512696,73.02058114114521,10101
101011001,32.0,19.01007198391525,73.02085506175722,10101
101011002,27.0,19.010383113861426,73.02091093554236,10101
101011003,45.0,19.01048568623829,73.02028775482442,10101
101011004,36.0,19.010972713466032,73.0206625253365,10101
101011005,45.0,19.01036553129093,73.02075144814259,10101
101011006,42.0,19.010630178679776,73.02065748720433,10101
101011007,31.0,19.010546934757276,73.02045478268107,10101
101011008,27.0,19.010978161425967,73.0203000485248,10101
101011009,46.0,19.01061489366187,73.02039654571406,10101
101021000,50.0,19.010713201406606,73.02057148895491,10102
101021001,32.0,19.01071292537063,73.02075627499157,10102
101021002,24.0,19.01033541018048,73.02086430414901,10102
101021003,46.0,19.010845740733146,73.02067373468489,10102
101021004,22.0,19.010926858818937,73.02001689770498,10102
101021005,21.0,19.010223883897478,73.02052555568002,10102
101021006,22.0,19.010155261737335,73.02017035706868,10102
101021007,24.0,19.01037994865992,73.02041937262898,10102
101021008,36.0,19.010465732506464,73.02085988869415,10102
101021009,31.0,19.01078648159449,73.02095581052482,10102
101031000,32.0,19.01099771106115,73.02071990740747,10103
101031001,20.0,19.010967262150942,73.02083589682185,10103
101031002,48.0,19.01070476044174,73.02089451422559,10103
101031003,41.0,19.010311184677803,73.02074430102137,10103
101031004,34.0,19.010118078243565,73.02051613937864,10103
101031005,26.0,19.010042666992735,73.0209348293826,10103
101031006,30.0,19.01098953024028,73.02003584987051,10103
101031007,37.0,19.01087706555383,73.02032722699042,10103
101031008,28.0,19.010743899038076,73.02026439018908,10103
101031009,45.0,19.01006993881693,73.02057961138797,10103
101041000,34.0,19.01005952907137,73.02065538873215,10104
101041001,35.0,19.01006855912841,73.02067862917067,10104
101041002,23.0,19.010951713884108,73.0208816903682,10104
101041003,50.0,19.010004585613075,73.02095273601859,10104
101041004,50.0,19.010832351914722,73.0200629443464,10104
101041005,39.0,19.010696511734874,73.02090379063752,10104
101041006,29.0,19.010721694500432,73.02070429784926,10104
101041007,25.0,19.010012249543305,73.02089774703613,10104
101041008,37.0,19.010210101768983,73.02033741119122,10104
101041009,44.0,19.01093838866137,73.0209383939579,10104
101051000,28.0,19.010595348314588,73.02015265248315,10105
101051001,42.0,19.010005436403038,73.02074321827115,10105
101051002,42.0,19.01042540220157,73.02057750975372,10105
101051003,29.0,19.01012876845276,73.02080096313135,10105
101051004,48.0,19.010085268048606,73.02078212973065,10105
101051005,49.0,19.01039554308104,73.02061134618212,10105
101051006,50.0,19.010512619440476,73.02087552083164,10105
101051007,48.0,19.01023631567114,73.02025789146357,10105
101051008,36.0,19.010031889941025,73.02049737465758,10105
101051009,50.0,19.01069172353162,73.02009173312577,10105
101061000,49.0,19.010633449887433,73.02039146114112,10106
101061001,25.0,19.01006208015815,73.02083798954203,10106
101061002,32.0,19.010034850142546,73.02023765618067,10106
101061003,32.0,19.010312739574644,73.02051798770584,10106
101061004,40.0,19.01019749266961,73.02035547482713,10106
101061005,33.0,19.010988361884817,73.02039772177051,10106
101061006,38.0,19.01015365872094,73.02013935029782,10106
101061007,20.0,19.010720065727348,73.02035916627212,10106
101061008,31.0,19.010012080747654,73.02021925057176,10106
101061009,30.0,19.010255095978415,73.02076254213013,10106
